runtime E0 E1
0 0 0
0.001 0 0
0.002 1.25 1.25
0.003 1.26611 1.26611
0.004 1.2824 1.2824
0.005 1.29889 1.29889
0.006 1.31556 1.31556
0.007 1.33242 1.33242
0.008 1.34947 1.34947
0.009 1.36672 1.36672
0.01 1.38415 1.38415
0.011 1.40178 1.40178
0.012 1.41959 1.41959
0.013 1.4376 1.4376
0.014 1.45581 1.45581
0.015 1.4742 1.4742
0.016 1.49279 1.49279
0.017 1.51158 1.51158
0.018 1.53056 1.53056
0.019 1.54973 1.54973
0.02 1.5691 1.5691
0.021 1.58867 1.58867
0.022 1.60843 1.60843
0.023 1.62839 1.62839
0.024 1.64855 1.64855
0.025 1.66891 1.66891
0.026 1.68947 1.68947
0.027 1.71023 1.71023
0.028 1.73118 1.73118
0.029 1.75234 1.75234
0.03 1.7737 1.7737
0.031 1.79526 1.79526
0.032 1.81703 1.81703
0.033 1.83899 1.83899
0.034 1.86116 1.86116
0.035 1.88354 1.88354
0.036 1.90612 1.90612
0.037 1.9289 1.9289
0.038 1.9519 1.9519
0.039 1.97509 1.97509
0.04 1.9985 1.9985
0.041 2.02211 2.02211
0.042 2.04593 2.04593
0.043 2.06996 2.06996
0.044 2.0942 2.0942
0.045 2.11865 2.11865
0.046 2.14331 2.14331
0.047 2.16818 2.16818
0.048 2.19327 2.19327
0.049 2.21856 2.21856
0.05 2.24407 2.24407
0.051 2.2698 2.2698
0.052 2.29573 2.29573
0.053 2.32189 2.32189
0.054 2.34826 2.34826
0.055 2.37484 2.37484
0.056 2.40164 2.40164
0.057 2.42866 2.42866
0.058 2.4559 2.4559
0.059 2.48336 2.48336
0.06 2.51103 2.51103
0.061 2.53893 2.53893
0.062 2.56705 2.56705
0.063 2.59538 2.59538
0.064 2.62394 2.62394
0.065 2.65273 2.65273
0.066 2.68173 2.68173
0.067 2.71096 2.71096
0.068 2.74042 2.74042
0.069 2.7701 2.7701
0.07 2.8 2.8
0.071 2.83013 2.83013
0.072 2.86049 2.86049
0.073 2.89108 2.89108
0.074 2.92189 2.92189
0.075 2.95294 2.95294
0.076 2.98421 2.98421
0.077 3.01571 3.01571
0.078 3.04745 3.04745
0.079 3.07941 3.07941
0.08 3.11161 3.11161
0.081 3.14404 3.14404
0.082 3.1767 3.1767
0.083 3.2096 3.2096
0.084 3.24273 3.24273
0.085 3.2761 3.2761
0.086 3.3097 3.3097
0.087 3.34354 3.34354
0.088 3.37761 3.37761
0.089 3.41193 3.41193
0.09 3.44648 3.44648
0.091 3.48127 3.48127
0.092 3.51629 3.51629
0.093 3.55156 3.55156
0.094 3.58707 3.58707
0.095 3.62282 3.62282
0.096 3.65881 3.65881
0.097 3.69504 3.69504
0.098 3.73151 3.73151
