runtime x0 y0 x1 y1
0 8.500000 11.300000 11.500000 8.700000
0.001 8.500500 11.300000 11.499500 8.700000
0.002 8.501003 11.299997 11.498997 8.700003
0.003 8.501510 11.299992 11.498490 8.700008
0.004 8.502019 11.299983 11.497981 8.700017
0.005 8.502532 11.299972 11.497468 8.700028
0.006 8.503048 11.299958 11.496952 8.700042
0.007 8.503567 11.299942 11.496433 8.700058
0.008 8.504090 11.299922 11.495910 8.700078
0.009 8.504615 11.299900 11.495385 8.700100
0.01 8.505144 11.299875 11.494856 8.700125
0.011 8.505676 11.299847 11.494324 8.700153
0.012 8.506212 11.299816 11.493788 8.700184
0.013 8.506750 11.299783 11.493250 8.700217
0.014 8.507292 11.299746 11.492708 8.700254
0.015 8.507837 11.299707 11.492163 8.700293
0.016 8.508385 11.299665 11.491615 8.700335
0.017 8.508937 11.299621 11.491063 8.700379
0.018 8.509492 11.299573 11.490508 8.700427
0.019 8.510049 11.299523 11.489951 8.700477
0.02 8.510611 11.299470 11.489389 8.700530
0.021 8.511175 11.299414 11.488825 8.700586
0.022 8.511743 11.299355 11.488257 8.700645
0.023 8.512314 11.299293 11.487686 8.700707
0.024 8.512888 11.299229 11.487112 8.700771
0.025 8.513465 11.299161 11.486535 8.700839
0.026 8.514046 11.299091 11.485954 8.700909
0.027 8.514630 11.299018 11.485370 8.700982
0.028 8.515217 11.298942 11.484783 8.701058
0.029 8.515807 11.298864 11.484193 8.701136
0.03 8.516401 11.298782 11.483599 8.701218
0.031 8.516998 11.298698 11.483002 8.701302
0.032 8.517598 11.298611 11.482402 8.701389
0.033 8.518201 11.298521 11.481799 8.701479
0.034 8.518808 11.298428 11.481192 8.701572
0.035 8.519418 11.298332 11.480582 8.701668
0.036 8.520031 11.298233 11.479969 8.701767
0.037 8.520648 11.298132 11.479352 8.701868
0.038 8.521267 11.298027 11.478733 8.701973
0.039 8.521890 11.297920 11.478110 8.702080
0.04 8.522517 11.297810 11.477483 8.702190
0.041 8.523146 11.297697 11.476854 8.702303
0.042 8.523779 11.297581 11.476221 8.702419
0.043 8.524415 11.297462 11.475585 8.702538
0.044 8.525055 11.297340 11.474945 8.702660
0.045 8.525698 11.297215 11.474302 8.702785
0.046 8.526344 11.297088 11.473656 8.702912
0.047 8.526993 11.296957 11.473007 8.703043
0.048 8.527646 11.296824 11.472354 8.703176
0.049 8.528302 11.296688 11.471698 8.703312
0.05 8.528961 11.296549 11.471039 8.703451
